City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
453,levokumskoye,44.8219,44.6606,52.32,64,77,7.67,RU,1635043536
454,kayes,14.0,-11.0,78.8,74,54,5.17,ML,1635043538
455,shelburne,44.0787,-80.2041,42.69,84,63,5.41,CA,1635043393
456,ahuimanu,21.4447,-157.8378,83.91,63,20,9.22,US,1635043543
457,bangui,4.3612,18.555,77.18,88,20,0.0,CF,1635043545
458,soyo,-6.1349,12.3689,77.58,84,100,8.43,AO,1635043547
459,san rafael,-34.6177,-68.3301,59.23,25,0,4.45,AR,1635043316
460,yaan,7.3833,8.5667,72.23,86,99,2.68,NG,1635043552
461,nagato,34.3833,131.2,67.19,47,100,5.55,JP,1635043554
462,bilma,18.6853,12.9164,79.25,16,27,5.59,NE,1635043556
463,leningradskiy,69.3833,178.4167,10.44,95,100,8.39,RU,1635043559
464,rio grande,-32.035,-52.0986,58.95,88,77,14.05,BR,1635043561
465,maun,-19.9833,23.4167,76.96,57,0,3.44,BW,1635043563
466,najran,17.4924,44.1277,59.65,34,9,2.98,SA,1635043566
467,jawhar,2.7809,45.5005,75.92,87,4,5.7,SO,1635043568
468,warrnambool,-38.3833,142.4833,58.8,64,95,16.13,AU,1635043573
469,zapolyarnyy,69.4154,30.8136,22.28,93,58,8.1,RU,1635043575
470,nosy varika,-20.5833,48.5333,74.48,93,45,7.4,MG,1635043577
471,susanville,40.4163,-120.653,43.83,87,100,3.0,US,1635043579
472,matagami,49.7502,-77.6328,33.91,100,75,2.3,CA,1635043582
473,envira,-7.3,-70.2167,75.79,84,18,2.86,BR,1635043584
474,bhakkar,31.6253,71.0657,68.68,63,3,11.48,PK,1635043448
475,fuling,29.7022,107.3919,66.06,58,9,1.39,CN,1635043589
476,novyy urengoy,66.0833,76.6333,27.01,91,100,13.38,RU,1635043591
477,kampot,10.6167,104.1833,86.05,78,82,13.29,KH,1635043594
478,puerto suarez,-18.95,-57.8,94.55,35,83,9.6,BO,1635043596
479,zhongshu,24.5167,103.7667,51.19,97,100,3.29,CN,1635043598
480,lagunas,-5.2269,-75.6753,78.01,77,14,2.19,PE,1635043600
481,christchurch,-43.5333,172.6333,74.48,65,91,5.01,NZ,1635043500
482,port hardy,50.6996,-127.4199,50.0,93,20,3.44,CA,1635043609
483,bengkulu,-3.8004,102.2655,78.6,83,99,3.83,ID,1635043611
484,kupang,-10.1667,123.5833,90.18,62,20,9.22,ID,1635043531
485,martapura,-3.4167,114.85,89.69,62,40,3.44,ID,1635043616
486,alvand,36.3187,49.1678,42.93,47,1,3.8,IR,1635043618
487,gongzhuling,43.5008,124.8198,56.1,47,0,13.22,CN,1635043621
488,mount isa,-20.7333,139.5,96.57,23,22,12.66,AU,1635043401
489,ancud,-41.8697,-73.8203,48.42,77,82,9.42,CL,1635043595
490,tokomaru,-40.4667,175.5,59.11,92,100,0.76,NZ,1635043627
491,istisu,40.9457,48.0738,32.67,48,0,6.53,AZ,1635043629
492,high rock,26.6208,-78.2833,75.22,76,98,11.74,BS,1635043632
493,madang,-5.2246,145.7966,87.37,61,76,7.34,PG,1635043634
494,mayumba,-3.432,10.6554,76.06,90,100,3.27,GA,1635043637
495,letlhakane,-21.4167,25.5833,67.8,19,38,8.01,BW,1635043639
496,petropavlovka,50.6114,105.3196,41.79,50,90,0.83,RU,1635043643
497,aguimes,27.9054,-15.4461,66.83,66,75,11.5,ES,1635043646
498,bardiyah,31.7561,25.0865,67.08,70,0,2.93,LY,1635043648
499,port-gentil,-0.7193,8.7815,77.52,84,100,7.85,GA,1635043650
500,moroni,-11.7022,43.2551,77.13,78,81,1.97,KM,1635043653
501,balaipungut,1.05,101.2833,77.41,87,94,4.68,ID,1635043655
502,clyde river,70.4692,-68.5914,17.15,84,92,11.54,CA,1635043359
503,the valley,18.217,-63.0578,82.81,73,56,17.83,AI,1635043433
504,haapiti,-17.5667,-149.8667,80.33,87,99,19.42,PF,1635043662
505,antanifotsy,-19.65,47.3167,59.09,55,0,1.34,MG,1635043664
506,avera,33.194,-82.5271,60.71,63,0,3.02,US,1635043369
507,mujiayingzi,42.1167,118.7833,53.92,31,4,5.53,CN,1635043668
508,palmer,42.1584,-72.3287,51.17,70,90,0.0,US,1635043670
